text,label
"Win a $1000 Gift Card now! Click here to claim.",spam
"Meeting at 3pm today with the team.",ham
"Limited time offer!!! Exclusive deals just for you.",spam
"Can we reschedule our appointment to next week?",ham
"Your account has been compromised. Verify immediately.",spam
"Lunch tomorrow?",ham
"Congratulations! You have been selected for a cash prize. Reply with your bank details.",spam
"Reminder: Submit your timesheet by EOD today.",ham
"Final notice: Your warranty is expiring. Renew now to avoid charges.",spam
"Let’s catch up over a call this weekend.",ham
"Urgent: Verify your Apple ID to keep your account active.",spam
"Attached are the meeting notes from today’s discussion.",ham
"You’ve won a free vacation package! Pay the booking fee to claim.",spam
"Please review the attached invoice and confirm.",ham
"Your parcel is waiting. Pay customs duty to release it.",spam
"Great job on the presentation today!",ham
"Act now! Limited seats available for our exclusive webinar.",spam
"Can you share the latest sales report?",ham
"Security alert: Multiple login attempts detected. Reset your password now.",spam
"Don't forget our dentist appointment on Friday.",ham
"Claim your reward points before they expire!",spam
"Here are the photos from the trip.",ham
"Earn $500/day working from home. No experience needed.",spam
"Could you approve the budget request?",ham
"Unlock premium features. Only $1 for the first month.",spam
"I’ll be on leave tomorrow. Reach out to John for urgent tasks.",ham
"Your Netflix subscription is suspended. Update your payment info.",spam
"Team lunch next Wednesday at 1 PM?",ham
"Exclusive: Double your investment in 7 days!",spam
"The code review looks good. Merge when ready.",ham
"Confirm your billing address to avoid service interruption.",spam
"Happy birthday! Wishing you a great year ahead.",ham
"You’re pre-approved for a $10,000 loan. Apply now.",spam
"Minutes from the board meeting attached.",ham
"We noticed unusual activity. Click to secure your account.",spam
"Could you share your availability for a quick sync?",ham
"Get rich quick with this simple trick—experts hate it!",spam
"Your order has shipped. Tracking number inside.",ham
"Hot deal: Save 80% on all items. Today only!",spam
"Let's finalize the agenda for tomorrow’s demo.",ham
"Crypto giveaway: Send 1 ETH to receive 2 ETH back.",spam
"Booking confirmed for your hotel stay.",ham
"Immediate action required: Confirm your PayPal account.",spam
"Family dinner at 8 PM tonight?",ham
"Your account will be closed. Confirm details to keep it active.",spam
"Thanks for your help earlier—much appreciated!",ham
